The data is acquired by "MPS-140801".Channal number: 8Sample rate:64000Starting time:2022/11/11 14:12:10Sample number:6400CH1	CH2	CH3	CH4	CH5	CH6	CH7	CH8	-0.00091721	0.00226563	0.00772019	0.00237282	0.00804299	0.00523166	0.00528525	0.00394049
-0.00190142	0.00316214	0.00825006	0.00179301	0.00614400	0.00528038	0.00464820	0.00385035
-0.00279306	0.00372002	0.00815261	0.00102684	0.00402088	0.00468717	0.00312316	0.00314752
-0.00342037	0.00404403	0.00740593	-0.00004385	0.00234115	0.00406474	0.00152016	0.00214260
-0.00332292	0.00436926	0.00641685	-0.00093914	0.00091356	0.00346544	-0.00005969	0.00066264
-0.00290147	0.00404646	0.00479802	-0.00200861	-0.00064436	0.00282107	-0.00132771	-0.00088433
-0.00163223	0.00347031	0.00271023	-0.00252752	-0.00226807	0.00189533	-0.00193675	-0.00203663
-0.00048723	0.00205368	0.00044338	-0.00308540	-0.00420969	0.00039344	-0.00256041	-0.00316945
0.00048601	0.00030696	-0.00184661	-0.00329004	-0.00588577	-0.00148728	-0.00313412	-0.00411346
0.00135085	-0.00123635	-0.00336677	-0.00309758	-0.00643390	-0.00313656	-0.00346909	-0.00436073
0.00207805	-0.00264567	-0.00495759	-0.00311463	-0.00596372	-0.00452273	-0.00390029	-0.00484187
0.00289172	-0.00360795	-0.00592718	-0.00285274	-0.00462505	-0.00510741	-0.00353243	-0.00519633
0.00354583	-0.00441676	-0.00642294	-0.00232288	-0.00269683	-0.00489668	-0.00247392	-0.00489303
0.00429495	-0.00501971	-0.00615131	-0.00151407	-0.00057372	-0.00407813	-0.00114621	-0.00402941
0.00481629	-0.00504285	-0.00530840	-0.00054448	0.00105608	-0.00324740	0.00076861	-0.00280402
0.00464211	-0.00516953	-0.00427181	0.00055910	0.00225467	-0.00260791	0.00222665	-0.00110480
0.00391857	-0.00484552	-0.00249097	0.00149215	0.00388933	-0.00174916	0.00313047	0.00055057
0.00275895	-0.00397825	-0.00046774	0.00215844	0.00553861	-0.00058468	0.00360552	0.00175891
0.00152991	-0.00262253	0.00180154	0.00240205	0.00747901	0.00096350	0.00419872	0.00255675
